year,tmID,playoff,confID,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,teamWLRatio,playoff_prev
10,DET,Y,EA,974.0,2295.0,556.0,744.0,168.0,476.0,1248.0,604.0,724.0,278.0,496.0,118.0,2672.0,872.0,2151.0,563.0,740.0,215.0,616.0,1085.0,520.0,762.0,229.0,572.0,119.0,2522.0,1.8333333333333333,Y
1,HOU,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HOU,Y,WE,891.0,1894.0,521.0,634.0,172.0,491.0,997.0,494.0,554.0,284.0,440.0,104.0,2475.0,786.0,1938.0,370.0,508.0,124.0,418.0,902.0,473.0,648.0,233.0,480.0,85.0,2066.0,5.4,Y
3,HOU,Y,WE,747.0,1908.0,415.0,539.0,138.0,435.0,1058.0,426.0,509.0,251.0,436.0,95.0,2047.0,740.0,1883.0,362.0,504.0,152.0,456.0,982.0,452.0,561.0,248.0,433.0,120.0,1994.0,1.4615384615384615,Y
4,HOU,Y,WE,755.0,1778.0,453.0,585.0,109.0,332.0,1001.0,450.0,467.0,260.0,455.0,126.0,2072.0,705.0,1880.0,331.0,452.0,151.0,489.0,973.0,446.0,606.0,262.0,464.0,71.0,1892.0,3.0,Y
5,HOU,N,WE,828.0,1916.0,473.0,600.0,115.0,344.0,1030.0,465.0,490.0,231.0,450.0,129.0,2244.0,824.0,2030.0,325.0,448.0,169.0,500.0,1006.0,516.0,634.0,227.0,430.0,122.0,2142.0,1.4285714285714286,Y
6,HOU,Y,WE,798.0,1933.0,458.0,615.0,123.0,358.0,1035.0,451.0,555.0,242.0,484.0,107.0,2177.0,834.0,2008.0,391.0,531.0,152.0,434.0,1055.0,539.0,655.0,258.0,471.0,129.0,2211.0,0.6190476190476191,N
7,HOU,Y,WE,860.0,1920.0,527.0,690.0,62.0,205.0,960.0,467.0,581.0,246.0,425.0,105.0,2309.0,848.0,1944.0,419.0,559.0,148.0,423.0,961.0,541.0,685.0,197.0,481.0,111.0,2263.0,1.2666666666666666,Y
8,HOU,N,WE,928.0,2098.0,482.0,678.0,169.0,472.0,1125.0,532.0,617.0,252.0,566.0,84.0,2507.0,928.0,2232.0,445.0,615.0,148.0,496.0,1124.0,526.0,705.0,298.0,519.0,89.0,2449.0,1.125,Y
9,HOU,N,WE,915.0,2149.0,554.0,721.0,126.0,365.0,1144.0,558.0,655.0,289.0,633.0,109.0,2510.0,924.0,2190.0,578.0,719.0,202.0,581.0,1063.0,588.0,677.0,310.0,568.0,160.0,2628.0,0.6190476190476191,N
1,IND,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,IND,N,EA,796.0,1838.0,428.0,569.0,193.0,521.0,932.0,501.0,642.0,271.0,518.0,126.0,2213.0,839.0,1868.0,503.0,669.0,109.0,358.0,954.0,528.0,612.0,267.0,476.0,75.0,2290.0,0.391304347826087,N
3,IND,Y,EA,762.0,1822.0,472.0,591.0,157.0,446.0,935.0,458.0,600.0,242.0,491.0,118.0,2153.0,853.0,1899.0,412.0,583.0,131.0,367.0,966.0,565.0,616.0,256.0,466.0,140.0,2249.0,0.45454545454545453,N
4,IND,N,EA,731.0,1825.0,455.0,580.0,180.0,543.0,948.0,447.0,559.0,268.0,438.0,100.0,2097.0,804.0,1817.0,359.0,503.0,162.0,464.0,932.0,507.0,647.0,226.0,470.0,145.0,2129.0,1.0,Y
5,IND,N,EA,839.0,2011.0,449.0,563.0,210.0,600.0,988.0,539.0,668.0,299.0,474.0,121.0,2337.0,837.0,1908.0,490.0,638.0,157.0,421.0,986.0,570.0,631.0,227.0,512.0,170.0,2321.0,0.8888888888888888,N
6,IND,Y,EA,791.0,2011.0,450.0,580.0,166.0,481.0,1101.0,555.0,639.0,261.0,486.0,134.0,2198.0,804.0,1865.0,516.0,695.0,121.0,352.0,969.0,514.0,603.0,268.0,466.0,162.0,2245.0,0.7894736842105263,N
7,IND,Y,EA,784.0,1958.0,452.0,595.0,150.0,468.0,1012.0,493.0,668.0,336.0,477.0,95.0,2170.0,775.0,1798.0,460.0,642.0,123.0,367.0,990.0,435.0,644.0,234.0,558.0,113.0,2133.0,1.6153846153846154,Y
8,IND,Y,EA,873.0,2144.0,518.0,676.0,171.0,551.0,1094.0,501.0,606.0,354.0,528.0,93.0,2435.0,883.0,2043.0,413.0,559.0,137.0,444.0,1061.0,507.0,685.0,259.0,617.0,105.0,2316.0,1.6153846153846154,Y
9,IND,Y,EA,907.0,2167.0,478.0,617.0,188.0,546.0,1153.0,511.0,646.0,308.0,589.0,136.0,2480.0,881.0,2192.0,450.0,608.0,158.0,483.0,1164.0,475.0,663.0,280.0,610.0,114.0,2370.0,1.6153846153846154,Y
10,IND,Y,EA,876.0,2179.0,495.0,656.0,226.0,662.0,1127.0,500.0,727.0,324.0,585.0,165.0,2473.0,891.0,2127.0,540.0,706.0,135.0,415.0,1171.0,477.0,659.0,294.0,608.0,130.0,2457.0,1.0,Y
1,LAS,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LAS,Y,WE,861.0,1956.0,545.0,693.0,150.0,452.0,1091.0,586.0,705.0,271.0,466.0,156.0,2417.0,776.0,1963.0,495.0,692.0,122.0,413.0,978.0,445.0,650.0,243.0,485.0,105.0,2169.0,7.0,Y
3,LAS,Y,WE,916.0,2031.0,449.0,594.0,160.0,436.0,1105.0,596.0,616.0,281.0,438.0,138.0,2441.0,779.0,1985.0,416.0,547.0,192.0,603.0,921.0,538.0,591.0,234.0,453.0,114.0,2166.0,7.0,Y
4,LAS,Y,WE,891.0,2002.0,476.0,645.0,194.0,515.0,1143.0,583.0,664.0,257.0,517.0,161.0,2452.0,796.0,2040.0,480.0,649.0,163.0,521.0,959.0,508.0,623.0,275.0,453.0,111.0,2235.0,3.5714285714285716,Y
5,LAS,Y,WE,894.0,2140.0,537.0,678.0,174.0,528.0,1149.0,587.0,682.0,242.0,470.0,161.0,2499.0,866.0,2147.0,504.0,702.0,196.0,540.0,1105.0,572.0,654.0,241.0,468.0,127.0,2432.0,2.4,Y
6,LAS,Y,WE,904.0,2069.0,530.0,722.0,157.0,414.0,1121.0,626.0,731.0,262.0,529.0,148.0,2495.0,815.0,2095.0,557.0,761.0,174.0,511.0,1066.0,532.0,704.0,288.0,523.0,114.0,2361.0,2.7777777777777777,Y
7,LAS,Y,WE,873.0,2042.0,456.0,630.0,124.0,387.0,1004.0,551.0,737.0,264.0,492.0,136.0,2326.0,818.0,1955.0,527.0,709.0,182.0,519.0,1041.0,567.0,654.0,247.0,544.0,115.0,2345.0,1.0,Y
8,LAS,N,WE,962.0,2195.0,540.0,726.0,111.0,377.0,1202.0,610.0,679.0,296.0,534.0,129.0,2575.0,873.0,2184.0,534.0,721.0,196.0,570.0,1082.0,565.0,636.0,284.0,556.0,128.0,2476.0,2.7777777777777777,Y
9,LAS,Y,WE,940.0,2305.0,493.0,627.0,160.0,456.0,1139.0,554.0,732.0,245.0,571.0,107.0,2533.0,954.0,2212.0,609.0,800.0,191.0,537.0,1179.0,616.0,605.0,290.0,550.0,137.0,2708.0,0.4166666666666667,N
10,LAS,Y,WE,954.0,2248.0,539.0,717.0,151.0,485.0,1282.0,613.0,713.0,251.0,608.0,216.0,2598.0,888.0,2310.0,562.0,751.0,185.0,547.0,1127.0,513.0,717.0,303.0,523.0,141.0,2523.0,1.4285714285714286,Y
1,MIA,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MIA,Y,EA,647.0,1774.0,452.0,664.0,85.0,310.0,960.0,415.0,707.0,272.0,524.0,88.0,1831.0,715.0,1676.0,454.0,627.0,117.0,315.0,923.0,416.0,661.0,247.0,528.0,118.0,2001.0,0.6842105263157895,N
3,MIA,N,EA,754.0,1826.0,356.0,469.0,93.0,295.0,943.0,467.0,602.0,300.0,448.0,153.0,1957.0,679.0,1725.0,420.0,588.0,120.0,395.0,968.0,388.0,538.0,259.0,512.0,87.0,1898.0,1.6666666666666667,Y
1,MIN,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MIN,N,WE,770.0,1831.0,449.0,592.0,204.0,571.0,870.0,495.0,690.0,237.0,497.0,63.0,2193.0,755.0,1758.0,514.0,702.0,164.0,481.0,977.0,472.0,707.0,275.0,547.0,130.0,2188.0,0.8823529411764706,N
3,MIN,N,WE,671.0,1810.0,559.0,727.0,176.0,552.0,1001.0,437.0,695.0,210.0,507.0,127.0,2077.0,752.0,1927.0,499.0,624.0,153.0,472.0,1016.0,511.0,719.0,259.0,470.0,126.0,2156.0,0.6,N
4,MIN,Y,WE,727.0,1775.0,383.0,578.0,166.0,500.0,959.0,466.0,617.0,226.0,529.0,102.0,2003.0,747.0,1807.0,469.0,613.0,141.0,389.0,914.0,495.0,618.0,273.0,465.0,117.0,2104.0,0.45454545454545453,N
5,MIN,Y,WE,875.0,1978.0,450.0,624.0,180.0,524.0,1079.0,580.0,634.0,242.0,558.0,101.0,2380.0,878.0,2067.0,473.0,633.0,141.0,446.0,989.0,528.0,666.0,271.0,471.0,126.0,2370.0,1.125,Y
6,MIN,N,WE,767.0,1900.0,454.0,640.0,177.0,542.0,1056.0,526.0,660.0,257.0,613.0,139.0,2165.0,804.0,1972.0,490.0,669.0,92.0,330.0,1036.0,508.0,676.0,333.0,502.0,133.0,2190.0,1.125,Y
7,MIN,N,WE,801.0,1946.0,437.0,601.0,172.0,492.0,1025.0,531.0,624.0,258.0,536.0,127.0,2211.0,862.0,2019.0,435.0,592.0,129.0,376.0,1055.0,537.0,665.0,275.0,487.0,144.0,2288.0,0.7,N
8,MIN,N,WE,945.0,2211.0,485.0,681.0,148.0,419.0,1144.0,491.0,654.0,193.0,530.0,113.0,2523.0,1004.0,2314.0,548.0,719.0,179.0,542.0,1204.0,625.0,633.0,308.0,438.0,124.0,2735.0,0.4166666666666667,N
9,MIN,N,WE,971.0,2355.0,531.0,674.0,163.0,496.0,1182.0,596.0,713.0,238.0,561.0,95.0,2636.0,988.0,2195.0,614.0,785.0,162.0,461.0,1118.0,565.0,645.0,279.0,529.0,147.0,2752.0,0.4166666666666667,N
10,MIN,N,WE,991.0,2303.0,652.0,864.0,133.0,413.0,1145.0,557.0,751.0,309.0,472.0,131.0,2767.0,974.0,2220.0,612.0,809.0,161.0,486.0,1212.0,587.0,748.0,248.0,579.0,140.0,2721.0,0.8888888888888888,N
1,NYL,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NYL,Y,EA,792.0,1815.0,429.0,567.0,135.0,396.0,940.0,477.0,617.0,246.0,474.0,102.0,2148.0,741.0,1822.0,437.0,590.0,116.0,420.0,967.0,462.0,645.0,223.0,479.0,94.0,2035.0,1.6666666666666667,Y
